Clinic,Address,City,State,Zip,Treatment center,Detection center,Earliest facility asset created date,Earliest provider asset created date,Earliest any public asset created date,Cross-check assessment,Facility asset count,Provider photo asset count,Date source,Phone,Website,Providers
Consulting Ophthalmologists P.C.,"499 Farmington Ave, Farmington, CT 06032",Farmington,CT,06032,No,Yes,2026-06-11,,2026-06-11,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+18604067621,consultingeye.com,
Contact Lens Institute of Colorado,"5236 Strauss Cabin Road, Fort Collins, CO 80528",Fort Collins,CO,80528,No,Yes,2026-04-21,,2026-04-21,Facility asset only,3,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+19707172829,https://www.clicolorado.com,
Contact Lense Institute of Nevada,"9260 W Sunset Rd Unit 209, Las Vegas, NV 89149",Las Vegas,NV,89149,No,Yes,2026-07-10,2026-07-10,2026-07-10,Strong: facility/provider asset dates within 7 days,2,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+17027650989,https://www.clinevada.com,Stephanie Woo
Coral Gables Eyecare,"58 Miracle Mile, Coral Gables, FL 33134",Coral Gables,FL,33134,No,Yes,2026-05-28,2026-05-28,2026-05-28,Strong: facility/provider asset dates within 7 days,2,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+18062305750,,Leslie Scher
Corewell Health,"3601 W. 13 Mile Rd, Royal Oak, MI 48073",Royal Oak,MI,48073,Yes,Yes,2026-06-23,,2026-06-23,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+12486022960,,
Cornea & Laser Eye Institute - CLEI Center for Keratoconus,"300 Frank W Burr Blvd. / Suite 71, Teaneck, NJ 07666",Teaneck,NJ,07666,Yes,Yes,2026-05-11,2026-05-11,2026-05-11,Strong: facility/provider asset dates within 7 days,2,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+12018905810,https://www.vision-institute.com,John Gelles; Steven Greenstein
Custom Eyes Lenexa,"15601 West 87th Street, Lenexa, KS 66219",Lenexa,KS,66219,No,Yes,2026-05-14,2026-05-14,2026-05-14,Strong: facility/provider asset dates within 7 days,3,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+19136759167,customeyeskc.com,Chris Cossette OD
Dakota Eye Institute,"200 South 5th Street, Bismarck, ND 58504",Bismarck,ND,58504,Yes,Yes,2026-06-23,,2026-06-23,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+17017146605,,
Danville Eye Center,"104 Smoky Way 
#100, Danville, KY 40422",Danville,KY,40422,No,Yes,2026-06-11,2026-06-11,2026-06-11,Strong: facility/provider asset dates within 7 days,2,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+18593950952,https://www.danvilleeyecenter.com,Mike Smith
DeCarlo Optometry,"1428 North Kraemer Boulevard, Placentia, CA 92870",Placentia,CA,92870,No,Yes,2026-06-29,,2026-06-29,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+17143121455,http://drdecarlo.net,
Desert Vision & Eye Care,"4116 West Craig Road, North Las Vegas, NV 89032",North Las Vegas,NV,89032,No,Yes,2026-06-29,2026-06-29,2026-06-29,Strong: facility/provider asset dates within 7 days,1,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+17026238297,https://www.desertvisioneyecare.com/our-practice.html,Stella Lau OD
Diamond Vision Rockville Center,"84 North Park Avenue, Rockville Centre, NY 11570",Rockville Centre,NY,11570,No,Yes,2026-04-15,,2026-04-15,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+15168994854,drshanegalan.com,Shane Galan
Dr. Amanda L. Bachman,"455 East Medical Center Boulevard, Webster, TX 77598",Webster,TX,77598,No,Yes,2026-04-30,,2026-04-30,Facility asset only,3,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+16188512075,https://www.eyecenteroftexas.com,
Dr. Andrew G. Chong - La Puente Optometry Center,"1641 N Hacienda Blvd., La Puente, CA 91744",La Puente,CA,91744,No,Yes,2026-06-29,,2026-06-29,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+16266544067,https://www.drandrewchong.com/,
Dr. Anushka Lewkebandara,"100 Medical Center Boulevard
Suite 118, Conroe, TX 77304",Conroe,TX,77304,No,Yes,2026-04-30,,2026-04-30,Facility asset only,3,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+19362203471,eyecenteroftexas.com,
Dr. Julie Ngo - Eye Center of Texas,"6565 West Loop South
suite 650, Bellaire, TX 77401",Bellaire,TX,77401,No,Yes,2026-04-30,,2026-04-30,Facility asset only,3,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+18146373224,www.eyecenteroftexas.com,
Dr. Schwartz Optometrist & Associates,"37670 Garfield Road, Clinton Township, MI 48036",Clinton Township,MI,48036,No,Yes,2026-05-18,,2026-05-18,Facility asset only,3,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+15863004198,https://www.drschwartzoptometrist.com,
Drs Hiura & Hiura,"1418 Polk Street, San Francisco, CA 94109",San Francisco,CA,94109,No,Yes,2026-06-29,,2026-06-29,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+16505824237,https://www.drhiura.com/index.html?noamp,
"Drs McIntyre, Garza, Avila, and Jurica","5488 South Padre Island Drive Suite 2042, Corpus Christi, TX 78411",Corpus Christi,TX,78411,No,Yes,2026-04-30,2026-04-30,2026-04-30,Strong: facility/provider asset dates within 7 days,3,2,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+13614267786,www.cccontacts.com,Dave Browning OD; Amy Mai
"Drs. Farkas, Kassalow, Resnick & Associates","30 East 60th Street, New York, NY 10022",New York,NY,10022,No,Yes,2026-04-21,,2026-04-21,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+16693712123,https://www.eyewise.com,Kevin Patrizio
"Drs. Farkas, Kassalow, Resnick & Associates","1044 Northern Boulevard, Roslyn, NY 11576",Roslyn,NY,11576,No,Yes,2026-04-20,2026-04-20,2026-04-20,Strong: facility/provider asset dates within 7 days,1,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+15169804800,https://admin.roya.com/sites/Site-96565d85-23d2-4fbf-a953-69d56c2fbdbd/,Kevin Patrizio
Dry Eye Center Of Alabama,"3490 Independence Drive, Birmingham, AL 35209",Birmingham,AL,35209,No,Yes,2026-04-10,,2026-04-10,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+12059315546,https://www.dryeyecenterofalabama.com,Bonnie Kim-Schwertz; C. Derrick Franklin OD; Allison McKelvey
Duke Eye Center,"2351 Erwin Rd., Durham, NC 27710",Durham,NC,27710,Yes,No,2026-04-17,2026-04-17,2026-04-17,Strong: facility/provider asset dates within 7 days,3,2,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+19198236739,https://www.dukehealth.org/locations/duke-eye-center,Melissa Daluvoy MD; Anthony Kuo MD; Kourtney Houser MD; C. Ellis Wisely MD; Nick Garson MD
Duke Eye Center Arringdon,"5601 Arringdon Park Drive / Suite 420, Morrisville, NC 27560",Morrisville,NC,27560,Yes,No,2026-04-17,2026-04-17,2026-04-17,Strong: facility/provider asset dates within 7 days,3,2,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+12182976751,https://www.dukehealth.org,Melissa Daluvoy MD; Anthony Kuo MD; Kourtney Houser MD; C. Ellis Wisely MD; Nick Garson MD
East Side Vision Center,"211 South Federal Highway, Pompano Beach, FL 33060",Pompano Beach,FL,33060,No,Yes,2026-06-24,2026-06-24,2026-06-24,Strong: facility/provider asset dates within 7 days,1,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+16093260318,eastsidevisionctr.com,Michelle Jhagroo
East Vancouver Eye Care,"6680 Northeast 159th Avenue, Vancouver, WA 98682",Vancouver,WA,98682,No,Yes,2026-06-19,,2026-06-19,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+13602301641,https://www.eastvancouvereye.com/,
ECU Health Ophthalmology - Greenville,"9 Medical Drive, Greenville, NC 27834",Greenville,NC,27834,Yes,No,,,,No public asset date available,0,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+12527861206,,Ann Ostrovsky
Elevate Eyecare + Eyeware,"1430 North Rochester Road, Rochester Hills, MI 48307",Rochester Hills,MI,48307,No,Yes,,,,No public asset date available,0,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+12484796261,https://www.elevateeyemi.com/,
Elite Eye Care,"140 Airport Road, Arden, NC 28704",Arden,NC,28704,No,Yes,2026-06-22,2026-06-22,2026-06-22,Strong: facility/provider asset dates within 7 days,2,2,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+18287215360,visionsource-eliteeye.com,Haley Perry; Casey Krug
Emory Eye Center - Emory St. Joseph's Hospital Campus,"5671 Peachtree Dunwoody Rd. - Doctors Center Bldg 3, Ste. 400, Atlanta, GA 30342",Atlanta,GA,30342,No,Yes,2026-04-15,,2026-04-15,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+15313356730,https://www.emoryhealthcare.org/,Boris Severinsky OD
Excel Eye Center - American Fork,"12 North 1100 East, American Fork, UT 84003",American Fork,UT,84003,No,Yes,2026-06-23,2026-06-23,2026-06-23,Strong: facility/provider asset dates within 7 days,2,3,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+16615183509,https://www.exceleyecenter.com/locations/american-fork-eye-care/?utm_source=google%20maps&utm_medium=organic&utm_term=american%20fork,Nathan Lambert; Robert Simmons; Peter Ririe
Excel Eye Center - Lehi,"220 North 1200 East, Lehi, UT 84043",Lehi,UT,84043,No,Yes,2026-06-23,2026-06-19,2026-06-19,Strong: facility/provider asset dates within 7 days,2,5,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+18314329871,https://www.exceleyecenter.com/locations/lehi-eye-care/?utm_source=google%20maps&utm_medium=organic&utm_term=lehi,Justin Wilkinson MD; Nathan Garlick; William Hatch; Austin Woolley; Aaron Smalley
Excel Eye Center - Provo,"1735 North State Street, Provo, UT 84604",Provo,UT,84604,Yes,Yes,2026-06-19,2026-06-19,2026-06-19,Strong: facility/provider asset dates within 7 days,3,6,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+19124553092,https://www.exceleyecenter.com/locations/provo-eye-care/,Justin Wilkinson MD; Austin Woolley; Reese Loveless; Christopher Ricks; Nathan Lambert; Joshua Hansen
Excel Eye Center - Spanish Fork,"692 East Market Place Drive, Suite 101, Spanish Fork, UT 84660",Spanish Fork,UT,84660,No,Yes,2026-06-23,2026-06-23,2026-06-23,Strong: facility/provider asset dates within 7 days,1,6,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+12517325440,https://www.exceleyecenter.com/locations/spanish-fork/,Reese Loveless; Christopher Ricks; Brad Henriksen; Joseph Schmutz; Joshua Hansen; Scott Yeates
Eye Associate for New Mexico Los Lunas,"1603 Main Street St, Los Lunas, NM 87031",Los Lunas,NM,87031,No,Yes,2026-04-21,2026-04-21,2026-04-21,Strong: facility/provider asset dates within 7 days,2,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+15058713685,https://www.eyenm.com/locations/los-lunas,Jason Koschmeder
Eye Associates for New Mexico Los Alamos,"1623 Central Ave, Los Alamos, NM 87544",Los Alamos,NM,87544,No,Yes,2026-04-21,2026-04-21,2026-04-21,Strong: facility/provider asset dates within 7 days,2,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+15055875935,https://www.eyenm.com/locations/los-alamos,Tim Johnson
Eye Associates for New Mexico Rio Rancho,"1817 Wellspring Avenue Southeast, Rio Rancho, NM 87124",Rio Rancho,NM,87124,No,Yes,2026-04-21,,2026-04-21,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+15056365399,https://www.eyenm.com/locations/rio-rancho,
Eye Associates for New Mexico Roswell,"1606 Southeast Main Street, Roswell, NM 88203",Roswell,NM,88203,No,Yes,2026-04-21,2026-04-21,2026-04-21,Strong: facility/provider asset dates within 7 days,1,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+15752214539,,Andrew Murphy OD
Eye Associates for NM Santa Fe-Southside,"8380 Cerrillos Road, Santa Fe, NM 87507",Santa Fe,NM,87507,No,Yes,2026-04-21,2026-04-21,2026-04-21,Strong: facility/provider asset dates within 7 days,2,2,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+15053703634,https://www.eyenm.com/locations/santa-fe-southside,Erin Byrne; Julia coulter
Eye Associates Northwest - Ballard,"1455 Northwest Leary Way, Seattle, WA 98107",Seattle,WA,98107,No,Yes,2026-07-09,,2026-07-09,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+12065586758,,
Eye Associates of New Mexico,"5757 Harper Drive NE, Albuquerque, NM 87109",Albuquerque,NM,87109,Yes,Yes,2026-04-17,,2026-04-17,Facility asset only,3,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+15053701666,https://www.eyenm.com,Kenneth Himmel
Eye Care and Laser Surgery of Newton Wellesley,"40 Walnut Street, Suite 101, Wellesley, MA 02481",Wellesley,MA,02481,Yes,No,2026-04-15,2026-04-22,2026-04-15,Strong: facility/provider asset dates within 7 days,2,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+19786166375,https://eyecareandlasersurgery.com/key-service/crosslinking/,Marc Leibole MD
Eye Care Associates,"1800 Data Drive, Hoover, AL 35244",Hoover,AL,35244,No,Yes,2026-05-12,2026-05-12,2026-05-12,Strong: facility/provider asset dates within 7 days,3,2,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+12053015240,webeca.com,Christine White; Ashley Savage; Barry Curtis; Lynn Hammonds
Eye Care Center of Ocala,"5330 Southwest College Road, Ocala, FL 34474",Ocala,FL,34474,No,Yes,2026-05-14,2026-05-14,2026-05-14,Strong: facility/provider asset dates within 7 days,2,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+13526074545,https://www.eyecarecenterofocala.com/?utm_source=direct&utm_medium=direct&utm_content=dr_page-view_dr,Rebecca Geering
Eye Care of San Diego,"3939 3rd Ave, San Diego, CA 92103",San Diego,CA,92103,No,Yes,2026-06-30,,2026-06-30,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+17753178987,https://www.eyecareofsandiego.com/,
Eye Center of Texas Bellaire Tx,"6565 West Loop S, Bellaire, TX 77401",Bellaire,TX,77401,Yes,Yes,2026-04-30,2026-04-30,2026-04-30,Strong: facility/provider asset dates within 7 days,3,4,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+19146044180,www.eyecenteroftexas.com,Yasir Ahmed; Julie Ngo; Jill Autry; Amanda Bachman
Eye Co,"1001 West 5th Avenue, Columbus, OH 43212",Columbus,OH,43212,No,Yes,2026-06-30,2026-06-30,2026-06-30,Strong: facility/provider asset dates within 7 days,1,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+12344075392,ohioeyeco.com,Natalie Nguyen
Eye Consultants and Surgeons of Arizona,"1215 West Rio Salado Parkway /Suite 101, Tempe, AZ 85281",Tempe,AZ,85281,Yes,Yes,2026-04-17,2026-04-17,2026-04-17,Strong: facility/provider asset dates within 7 days,1,2,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+14807716133,www.eyecsa.com,Jon Konti; Derek Phelps
Eye Consultants of Atlanta - Cumberland,"3225 Cumberland Blvd SE Ste 900, Atlanta, GA 30339",Atlanta,GA,30339,Yes,No,2026-04-09,,2026-04-09,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+16067551745,http://www.eyeconsultants.net/traditional-cornea-transplant.htm,William Lee MD; Evan Loft MD; Hans Andrews
Eye Consultants of Atlanta - Howell Mill,"3193 Howell Mill Rd NW / Ste 115, Atlanta, GA 30327",Atlanta,GA,30327,Yes,No,2026-04-08,,2026-04-08,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+14043344874,,Joseph Christenbury
Eye Design,"7801 Old Branch Avenue, Clinton, MD 20735",Clinton,MD,20735,No,Yes,2026-07-07,,2026-07-07,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+12409055892,https://www.eyedesigneyecare.com/,
Eye Group of Mississippi,"501 Baptist Drive / Suite 220 / Eye Group, Madison, MS 39110",Madison,MS,39110,Yes,No,2026-06-24,,2026-06-24,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+16018432478,https://www.eyegroupms.com/,
Eye Institute of Utah,"755 East 3900 South, Salt Lake City, UT 84107",Salt Lake City,UT,84107,Yes,Yes,2026-04-09,,2026-04-09,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+18014210698,,"Samuel Passi MD; Zachary Zavodni MD; Randy Carter OD, FAAO; Stephanie Nahhas OD; Sean Cushman OD, FAAO"
Eye Lite Optometry,"286 State Street, Los Altos, CA 94022",Los Altos,CA,94022,No,Yes,2026-05-05,,2026-05-05,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+16507896057,www.eyeliteoptometry.com,
Eye Medical Center,"7777 Hennessey Blvd, Baton Rouge, LA 70808",Baton Rouge,LA,70808,Yes,No,2026-06-24,,2026-06-24,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+12253511978,https://emc-eyes.com/,
Eye Q Optical,"Stirling Road, Pembroke Pines, FL 33332",Pembroke Pines,FL,33332,No,Yes,2026-06-30,2026-06-30,2026-06-30,Strong: facility/provider asset dates within 7 days,2,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+19542805901,https://youreyeq.com/,Wafa Abdulrazzaq
Eye Rx Washington DC,"1629 K Street Northwest, Washington, DC 20006",Washington,DC,20006,No,Yes,2026-07-07,,2026-07-07,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+15715762186,https://www.eyerxdc.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=website_link,
Eye Specialists & Surgeons of Northern Virginia,"3998 Fair Ridge Dr. - Suite 105, Fairfax, VA 22033",Fairfax,VA,22033,Yes,Yes,2026-07-08,,2026-07-08,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+15715408536,http://eyespecialistsnova.com/services/#cornea,
Eyecare Associates,"4324 Veterans Memorial Blvd / Ste 102, Metairie, LA 70006",Metairie,LA,70006,Yes,Yes,2026-04-09,,2026-04-09,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+15042693895,,Melissa Centola; Nicole Songy OD
Eyecare Associates,"702 West Drake Road, Fort Collins, CO 80526",Fort Collins,CO,80526,No,Yes,2026-05-13,2026-05-13,2026-05-13,Strong: facility/provider asset dates within 7 days,2,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+19705727981,https://www.eyecarefortcollins.com,Jaclyn DeHayes-Rice
EyeCare Associates/Huntsville,"600 Washington Street Northwest, Huntsville, AL 35801",Huntsville,AL,35801,No,Yes,,,,No public asset date available,0,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+12566029595,https://www.webeca.com/,Benjamin Pendergrass OD; Nathan Cash
Eyecare Center of Ken Caryl,"8321 Sangre De Cristo Road, Littleton, CO 80127",Littleton,CO,80127,No,Yes,2026-04-21,2026-04-21,2026-04-21,Strong: facility/provider asset dates within 7 days,2,2,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+18142507540,https://eyecarekencaryl.com,Beth Seidman; Catherine Goettge
Eyediology Vision,"245 Waterman Street, Providence, RI 02906",Providence,RI,02906,No,Yes,2026-04-22,2026-04-22,2026-04-22,Strong: facility/provider asset dates within 7 days,4,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+14014206704,,Kriti Bhagat
EyeMax Eye Care,"166 East 5900 South, Murray, UT 84107",Murray,UT,84107,No,Yes,2026-05-07,2026-05-07,2026-05-07,Strong: facility/provider asset dates within 7 days,3,2,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+18166534877,https://www.eyemaxeyecare.com,Joseph Martin; Nazanin Galehdari OD
Eyesight Ophthalmic Services,"155 Borthwick Ave / Suite 200E, Portsmouth, NH 03801",Portsmouth,NH,03801,Yes,Yes,2026-05-29,2026-05-29,2026-05-29,Strong: facility/provider asset dates within 7 days,3,7,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+16036348099,https://www.eyesightnh.com/keratoconus,Janet Rand OD; Renee Lynch OD; Dwight Arvidson OD; Christopher Turner OD; Lauren Mcloughlin OD; N. Timothy Peters MD; Jennifer Ling MD
Eyesight Ophthalmic Services,"192 Water Street, Exeter, NH 03833",Exeter,NH,03833,No,Yes,2026-06-05,2026-05-29,2026-05-29,Strong: facility/provider asset dates within 7 days,2,2,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+14783395277,https://www.eyesightnh.com,Christopher Turner OD; Renee Lynch OD
Eyesight Ophthalmic Services,"267 New Hampshire 108, Somersworth, NH 03878",Somersworth,NH,03878,No,Yes,2026-06-02,2026-05-29,2026-05-29,Strong: facility/provider asset dates within 7 days,4,3,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+12398372378,https://www.eyesightnh.com,Lauren Mcloughlin OD; Hilary Hamer OD; Dwight Arvidson OD
Faisal Haq,"3060 Communications Parkway, Plano, TX 75093",Plano,TX,75093,No,Yes,2026-05-14,2026-05-14,2026-05-14,Strong: facility/provider asset dates within 7 days,1,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+17622139968,https://keywhitman.com/locations/plano/,Faisal Haq
Focal Point Eyecare Fresh Meadows,"186-14 Union Turnpike, Queens, NY 11432",Queens,NY,11432,No,Yes,2026-06-22,2026-06-22,2026-06-22,Strong: facility/provider asset dates within 7 days,1,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+15165852964,https://focalpointeyecareny.com/,Sigalit Davidov
Forever You and Eye,"12400 Southeast 38th Street, Bellevue, WA 98006",Bellevue,WA,98006,No,Yes,2026-07-09,,2026-07-09,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+19382014594,https://www.foreveryouneye.com/,
Franklin Vision Care,"141 1st Avenue North, Franklin, TN 37064",Franklin,TN,37064,No,Yes,2026-07-09,2026-07-09,2026-07-09,Strong: facility/provider asset dates within 7 days,2,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+16157095949,https://www.franklinvisioncare.com/,Annedrea Morreale
Friedman Optometry,"10837 Laurel Street
Suite 202, Rancho Cucamonga, CA 91730",Rancho Cucamonga,CA,91730,No,Yes,2026-06-15,,2026-06-15,Facility asset only,3,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+19097740322,https://www.friedmanoptometry.com,
Friedman Optometry,"2150 North Waterman Avenue
Suite 201, San Bernardino, CA 92404",San Bernardino,CA,92404,No,Yes,2026-06-29,,2026-06-29,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+19094036847,www.friedmanoptometry.com,
Front Range Eye Associates,"13605 Xavier Lane, Broomfield, CO 80023",Broomfield,CO,80023,No,Yes,2026-04-22,2026-04-22,2026-04-22,Strong: facility/provider asset dates within 7 days,3,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+17157028664,https://visionsource-frea.com/,Carrie Burleson
Fuerst Eye Center,"1808 Verdugo Blvd / Suite 103, Glendale, CA 91208",Glendale,CA,91208,Yes,No,2026-06-23,,2026-06-23,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+15103196052,https://www.fuersteyemd.com,
Georgetown University Medical Center,"3800 Reservoir Road NW, Washington, DC 20007",Washington,DC,20007,Yes,No,2026-07-08,,2026-07-08,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+16188457448,https://www.medstarhealth.org/locations/medstar-georgetown-university-hospital?utm_campaign=mhs_citations&utm_medium=listing&utm_source=citation_management&utm_term=hospital,
Georgia Eye Associates,"3120 Maple Drive Northeast, Atlanta, GA 30305",Atlanta,GA,30305,No,Yes,2026-04-09,,2026-04-09,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+14048825471,https://www.georgiaeyeassociates.com/,Jeremy Chartash; Brian Kahn; Ye Ji Kim
