Clinic,Address,City,State,Zip,Treatment center,Detection center,Currently live in latest run,First seen by monitor,Last seen by monitor,Phone,Website,Providers,Epioxa facility ID
Optical Illusions San Jose,"377 Santana Row, Suite #1115, San Jose, CA 95128",San Jose,CA,95128,No,Yes,Yes,2026-07-30T13:44:50+00:00,2026-08-29T16:02:50+00:00,+18506130979,www.opti-illusions.com,,0ad7858b-c125-43f8-8af1-fc53f72d7d23
Optical Illusions San Mateo,"194 West Hillsdale Boulevard, San Mateo, CA 94403",San Mateo,CA,94403,No,Yes,No,2026-07-29T13:54:58+00:00,2026-08-25T12:35:18+00:00,+16504569437,www.opti-illusions.com,,1629d45b-294f-4b14-aaf4-b8463b4a2010
Optical Illusions San Ramon,"6000 Bollinger Canyon Road, Suite #1104, San Ramon, CA 94583",San Ramon,CA,94583,No,Yes,Yes,2026-07-30T13:44:50+00:00,2026-08-29T16:02:50+00:00,+19254453041,www.opti-illusions.com,,c42c2a65-5681-4e90-8010-ea64c4c353b8
Optum Pediatric Opthalmology,"146 Manetto Hill Road, Plainview, NY 11803",Plainview,NY,11803,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-29T16:02:50+00:00,+15166146551,https://www.optum.com/en/care/facilities/ny/optum-pediatric-ophthalmology-and-strabismus-plainview-13601_1001032001.html,Jill Marcus,5a0d2968-7052-4507-9824-e4e760ddc9a2
Palmer Eye Care,"17510 Provost Street Suite 103, Lake Oswego, OR 97034",Lake Oswego,OR,97034,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-29T16:02:50+00:00,+19713663428,,,a3abc078-c9c6-4343-ac40-00f5354f114a
Princeton Optometry,"211 North Harrison Street, Princeton, NJ 08540",Princeton,NJ,08540,No,Yes,Yes,2026-07-18T21:18:20+00:00,2026-08-29T16:02:50+00:00,+16096922215,https://www.princeton-optometry.com,Michelle Chung,517cfc42-b9d2-4b51-b992-c097cd48143f
Professional Optometry Vision Care,"77 Veterans Memorial Highway, Commack, NY 11725",Commack,NY,11725,No,Yes,No,2026-08-27T21:34:51+00:00,2026-08-27T21:34:51+00:00,+16315402072,https://pvc-optometry.com/,Sonia Valle,a6611a0c-f326-458f-b64e-8534daaecf71
Professional Vision Care- Westerville,"185 South State Street, Westerville, OH 43081",Westerville,OH,43081,No,Yes,Yes,2026-08-09T12:37:07+00:00,2026-08-29T16:02:50+00:00,+16148812384,https://www.professionalvisioncareinc.com/hours-directions/westerville/,Bradley Johnson; Derek Eibon; Jennifer Aschenbener,7ed7bd85-469b-4ea2-9ea0-a3e0dd4d4bd3
Riverwoods Eye Center,"280 W River Park Dr / Suite 220, Provo, UT 84604",Provo,UT,84604,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-29T16:02:50+00:00,+15044203850,http://www.riverwoodseyecenter.com/services/#advanced-cornea-care,Matthew Ward MD,d2069ee0-9c0c-49ad-953b-cbccc1c616d3
Rockland Eye | OCLI Vision,"1 Crosfield Avenue, West Nyack, NY 10994",West Nyack,NY,10994,No,Yes,Yes,2026-07-18T21:18:20+00:00,2026-08-29T16:02:50+00:00,+18454098031,,Nathaniel Nataneli; Taylor Kupferberg,f68e6ffa-8ba2-4ab6-bbfe-9cdbf5d7f42e
Ross Eye Institute,"1176 Main Street, buffalo, NY 14209",buffalo,NY,14209,No,Yes,Yes,2026-08-19T12:33:15+00:00,2026-08-29T16:02:50+00:00,+17163005729,https://www.rosseye.com/,,77adaade-0ccc-4969-a1a2-60852761bbdf
Sea Eye Care,"9573 Shore Drive STE E, Norfolk, VA 23518",Norfolk,VA,23518,No,Yes,No,2026-08-04T13:55:18+00:00,2026-08-26T12:38:49+00:00,+17575749971,https://www.seaeyecare.org/,James Komornik OD,43b537e8-1173-40db-9754-a2b788e4f201
Select Eye Care,"8601 LaSalle Rd / Ste 108, Towson, MD 21286",Towson,MD,21286,Yes,No,Yes,2026-07-24T13:24:06+00:00,2026-08-29T16:02:50+00:00,+14105931393,https://www.select-eyecare.com/,,3686762a-f278-42e7-b596-1d2f0906c8f3
Sight MD Babylon,"500 West Main Street / Suite 210, Babylon, NY 11702",Babylon,NY,11702,No,Yes,Yes,2026-08-05T13:52:29+00:00,2026-08-29T16:02:50+00:00,+16318372629,https://www.sightmd.com/locations/babylon/?utm_source=gmb&utm_medium=local_listings,Eric Rosenberg; Michael Lamonica; Alanna Natis,130b33fc-ef36-4e67-b1a9-66ece8910156
SightMD Plainview,"100 Manetto Hill Road, Plainview, NY 11803",Plainview,NY,11803,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-29T16:02:50+00:00,+15167155479,https://www.sightmd.com/our-doctors/madhavi-jaspal-od/,Madhavi Jaspal,d74fc2dd-0d94-4e84-bf9f-79fc21adfa3b
Sound Shore Vision Center,"271 Smithtown Boulevard, Nesconset, NY 11767",Nesconset,NY,11767,No,Yes,Yes,2026-07-30T13:44:50+00:00,2026-08-29T16:02:50+00:00,+19145869350,https://soundshorevision.net/staff/steve-d-rubinstein-od/,Steven Rubinstein,b66f491c-a9be-405a-a239-75ee54a21bb5
Sound Vision Care,"1721 North Ocean Avenue, Medford, NY 11763",Medford,NY,11763,No,Yes,Yes,2026-07-18T21:18:20+00:00,2026-08-29T16:02:50+00:00,+16318574704,https://www.soundvisioncare.com,Michelle McKillop,9f061a19-fca9-40df-b9b0-1e5e6f2756e2
Spectrum Optical - Morgantown Location,"1257 Pineview Drive, Morgantown, WV 26505",Morgantown,WV,26505,No,Yes,Yes,2026-07-18T21:18:20+00:00,2026-08-29T16:02:50+00:00,+13045073360,www.spectrumoptical.com,Cynthia Zwolensky OD; Tyler Kerr OD,a45b0329-94e7-4227-bf7a-68dfb44292ef
SSM Health,"2850 O’Keefe Avenue,, Sun Prairie, WI 53590",Sun Prairie,WI,53590,Yes,Yes,Yes,2026-07-24T13:24:06+00:00,2026-08-29T16:02:50+00:00,+16082925596,,,9177dee6-c7f6-4011-a171-296aa4566298
Summit Health Management,"95 Madison Ave Floor 2, Morristown, NJ 07960",Morristown,NJ,07960,Yes,No,Yes,2026-07-31T13:50:30+00:00,2026-08-29T16:02:50+00:00,+19735524784,https://www.summitmedicalgroup.com/locations/morristown-95-madison-avenue,Ava Huchun,a9e75807-d36b-4e3c-9c04-f38176c4a40d
SUNY College of Optometry,"33 West 42nd Street, New York, NY 10036",New York,NY,10036,No,Yes,Yes,2026-07-18T21:18:20+00:00,2026-08-29T16:02:50+00:00,+14243953916,,Anupam Laul; Eva Duchnowski,b8e8e230-328f-4744-8a0d-b69006a984d5
Temecula Eye Center Optometry,"41720 Winchester Road D, Temecula, CA 92590",Temecula,CA,92590,No,Yes,Yes,2026-08-28T21:38:28+00:00,2026-08-29T16:02:50+00:00,+19513963911,https://www.temeculaeyecenter.net/,,ad8d1eed-e9b7-4b9b-a2e2-82a09e67094c
The Eye Clinic,"1767 Imperial Blvd., Lake Charles, LA 70605",Lake Charles,LA,70605,Yes,Yes,Yes,2026-07-30T13:44:50+00:00,2026-08-29T16:02:50+00:00,+13372522587,http://www.theeyeclinic.net/cornea-lake-charles/,,0919c645-a060-4f63-907f-c8e3f87bc937
Tower Clock Eye Center,"1087 West Mason St., Green Bay, WI 54303",Green Bay,WI,54303,Yes,Yes,Yes,2026-07-24T13:24:06+00:00,2026-08-29T16:02:50+00:00,+19207893781,towerclockeyecenter.com,,9e778072-94e3-44b4-9964-e6de13cc4dc9
Triad Eye,"3615 Southeast Kentucky Street, Bartlesville, OK 74006",Bartlesville,OK,74006,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-29T16:02:50+00:00,+19182011501,https://triadeye.com/contact-form/,,ca348d86-862c-4cb1-b9d4-29c5b3d57b4d
Triad Eye,"1715 North Lynn Riggs Boulevard, Claremore, OK 74017",Claremore,OK,74017,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-29T16:02:50+00:00,+19188883598,https://triadeye.com/contact-form/,,ae37e2e4-9041-4a7f-a759-c73edda96679
Triad Eye,"63223 Oklahoma 10, Grove, OK 74344",Grove,OK,74344,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-29T16:02:50+00:00,+19188429688,https://triadeye.com/contact-form/,,25af70cb-2674-42c7-baff-057087df90fc
Triad Eye,"1001 East Wyandotte Avenue, McAlester, OK 74501",McAlester,OK,74501,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-29T16:02:50+00:00,+19186015816,https://triadeye.com/contact-form/,,fcd61e01-d4c2-4aed-8b20-f5002252eef7
Triad Eye,"3131 Military Boulevard, Muskogee, OK 74401",Muskogee,OK,74401,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-29T16:02:50+00:00,+19182338371,,,a3bf7898-71c7-4758-ad49-9edcad3b9af9
Triad Eye,"1020 Northeast 1st Street, Pryor, OK 74361",Pryor,OK,74361,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-29T16:02:50+00:00,+19182285343,https://triadeye.com/contact-form/,,24a7d349-2a3b-4f31-8aab-1228c7073a90
Triad Eye- Brookside,"3906 South Peoria Avenue, Tulsa, OK 74105",Tulsa,OK,74105,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-29T16:02:50+00:00,+19187192360,https://triadeye.com/contact-form/,,618d6512-4da6-49ba-b07b-23537196bdf6
Triad Eye- Tulsa Satellite Clinic,"8023 East 63rd Place, Tulsa, OK 74133",Tulsa,OK,74133,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-29T16:02:50+00:00,+19183022739,https://triadeye.com/contact-form/,,23571fd7-e2e9-4fa5-ae41-865ab30b487c
True Vision Eye Care Morrisville,"102 Lower Shiloh Way
#105, Morrisville, NC 27560",Morrisville,NC,27560,No,Yes,Yes,2026-08-22T12:25:34+00:00,2026-08-29T16:02:50+00:00,+19199254886,https://truevisioneye.com/eye-doctor-in-morrisville-nc/,Brandon Weyand OD,28dbede9-c7b1-41d1-b141-dfc7e045c84f
True Vision Eye Care Raleigh,"9101 Leesville Road Suite 133, Raleigh, NC 27613",Raleigh,NC,27613,No,Yes,Yes,2026-08-22T12:25:34+00:00,2026-08-29T16:02:50+00:00,+19196291841,https://www.truevisioneye.com/,Jennifer Lyerly OD; Alecia L. Barnes OD,e7bde7dd-de1a-4fee-b7c8-352fa4bb025d
Tulman Eye Group,"880 Crestmark Drive, Lithia Springs, GA 30122",Lithia Springs,GA,30122,No,Yes,No,2026-07-22T01:05:31+00:00,2026-08-26T12:38:49+00:00,+16206302406,https://visionsource-tulmaneyegroup.com/,Bryan Truong; Mehrdad Saadat,cc318f2b-70f0-43ea-a8cc-52acb6d55583
UAB Eye Care/Optometry,"1716 University Boulevard, Birmingham, AL 35233",Birmingham,AL,35233,No,Yes,Yes,2026-07-18T21:18:20+00:00,2026-08-29T16:02:50+00:00,+12058947910,https://www.uab.edu/optometry/home/uab-eye-care,Candice Turner; Jennifer Craig; Ami Epstein,0b1b3190-eecc-4598-b4fc-bf0f1c59c115
University Eye Associates,"8316 Medical Plaza Drive, Charlotte, NC 28262",Charlotte,NC,28262,No,Yes,No,2026-08-22T12:25:34+00:00,2026-08-22T12:25:34+00:00,+17082947377,www.universityeye.net,Robert Hamp,624c4a35-8918-4315-b38b-b805987df6c4
University of Michigan-Brighton Center,"7500 Challis Road, Brighton, MI 48116",Brighton,MI,48116,No,Yes,Yes,2026-07-18T21:18:20+00:00,2026-08-29T16:02:50+00:00,+17349771572,https://www.uofmhealth.org/locations-list/ophthalmology-clinic-brighton-center-specialty-care,,7e2a376b-d0d7-4729-9239-b32754bb0721
University of Michigan-Canton,"1051 North Canton Center Road, Canton Township, MI 48187",Canton Township,MI,48187,No,Yes,Yes,2026-07-18T21:18:20+00:00,2026-08-29T16:02:50+00:00,+17343611056,,,9f749da6-1b64-461a-ae83-ae08b5e0f8b3
University of Michigan-Wall Street,"1000 Wall Street, Ann Arbor, MI 48105",Ann Arbor,MI,48105,No,Yes,Yes,2026-07-18T21:18:20+00:00,2026-08-29T16:02:50+00:00,+17345931397,,,930b58f6-3a13-430e-b0fc-2b0e5e7043fe
University of Michigan-West Ann Arbor,"380 Parkland Plaza, Ann Arbor, MI 48103",Ann Arbor,MI,48103,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-29T16:02:50+00:00,+17342159795,,,c1c8ca99-da4d-4905-9963-9f6f1197d245
University of Minnesota Health - Eye Care,"516 Delaware Street SE / 9th Floor, Minneapolis, MN 55455",Minneapolis,MN,55455,Yes,Yes,Yes,2026-07-24T13:24:06+00:00,2026-08-29T16:02:50+00:00,+16123244416,,,3dc55d70-cf2e-49a5-8e66-1e6709388b55
USC Roski Eye Institute,"1500 San Pablo St., Los Angeles, CA 90033",Los Angeles,CA,90033,Yes,No,Yes,2026-07-18T21:18:20+00:00,2026-08-29T16:02:50+00:00,+13237666923,https://keck.usc.edu/ophthalmology/,,34dc18f2-857f-4f0e-b8f3-9eef073a7f77
UW Health Eye Care,"1 South Park, Madison, WI 53715",Madison,WI,53715,No,Yes,Yes,2026-07-24T13:24:06+00:00,2026-08-29T16:02:50+00:00,+16084202761,http://www.uwhealth.org/eyecare/conditions-and-treatments/10778,,3ae4a09c-032b-4c0b-9304-f9243e3a25ce
Vision Eye Group / Warner Robins,"151 South Houston Lake Road  Suite 190, Warner Robins, GA 31088",Warner Robins,GA,31088,No,Yes,Yes,2026-08-21T12:33:35+00:00,2026-08-29T16:02:50+00:00,,visioneyegroup.com,"Mike Simmons, Jr",e41932b6-a92d-470a-9235-658bedeb2995
Vision Source - Lakewood Ranch,"11151 State Road 70 East, Bradenton, FL 34202",Bradenton,FL,34202,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-29T16:02:50+00:00,+19414011497,,Olga Sokol; Amara Turner; Troy Bedinghaus; Patrick Nelson; Jordan Petrosky,d27da35e-3490-4a0a-bac3-67b3fe6deae9
Vision Source - Parrish,"10060 US Hwy 301 N, Parrish, FL 34219",Parrish,FL,34219,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-29T16:02:50+00:00,+19414178576,,Olga Sokol; Amara Turner; Troy Bedinghaus; Patrick Nelson; Jordan Petrosky,73dbadd8-dbff-4958-ab71-2d84d74a84f9
Vision Source Eyecare KC Plaza,"4400 broadway - Suite 202, kansas city, MO 64111",kansas city,MO,64111,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-29T16:02:50+00:00,+18168443372,http://www.taubereye.com/,Crystal Remington OD,0b97dd33-c634-4bd5-a53a-f2d732c6bd73
Visionary Eye Clinic,"1600 Grand Central Avenue, Vienna, WV 26105",Vienna,WV,26105,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-29T16:02:50+00:00,+13043375930,,Kayla Campbell OD; Katie Palmer OD,2aab9f86-3061-4a89-b5d6-46fdfee9273c
VisionPro Optometry,"8400 Rosedale Highway, Bakersfield, CA 93312",Bakersfield,CA,93312,No,Yes,Yes,2026-08-04T13:55:18+00:00,2026-08-29T16:02:50+00:00,+16615365758,https://www.visionprooptometry.com/,,ddce1a54-4b23-4000-9fbb-f48489c0b754
Vistar Eye Center,"3320 Franklin Road SW, Roanoke, VA 24014",Roanoke,VA,24014,Yes,No,Yes,2026-07-30T13:44:50+00:00,2026-08-29T16:02:50+00:00,+15405155083,https://www.vistareye.com/locations/roanoke-franklin-road/,Stuart Tims MD,44e0511f-7450-410b-9ddc-6b8437cf2178
Vistar Eye Center - Botetourt,"70 Summerfield Court, Roanoke, VA 24019",Roanoke,VA,24019,No,Yes,Yes,2026-08-08T12:34:16+00:00,2026-08-29T16:02:50+00:00,+15405834233,https://www.vistareye.com/locations/botetourt/,Mac Scothorn OD,b1242083-ce47-4613-ab04-0849b3a0ae40
Washington Eye Doctors,"5454 Wisconsin Avenue, Chevy Chase, MD 20815",Chevy Chase,MD,20815,No,Yes,Yes,2026-08-01T13:05:04+00:00,2026-08-29T16:02:50+00:00,+12605303652,https://www.washingtoneyedoctors.com/chevy-chase-eye-doctor/?utm_source=OffSite&utm_medium=GMB,,e3959d6f-f4bd-4c68-9aa5-d9f9b13ba35a
Weill Cornell,"1305 York Ave / 11th Floor, New York, NY 10021",New York,NY,10021,Yes,No,Yes,2026-07-30T13:44:50+00:00,2026-08-29T16:02:50+00:00,+16468493163,https://weillcornell.org/services/ophthalmology,"Jessica Ciralsky MD; Ana Fernandez; Christopher Starr, MD; Edward Lai MD; Matthew Nguyen MD; Kimberly Sippel MD; Nadia Haqqie MD",f45f5d97-762d-4739-8cd5-317b1d05117b
Western University Eye Care Institute,"309 East 2nd Street, Pomona, CA 91766",Pomona,CA,91766,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-29T16:02:50+00:00,+19094984183,https://www.westernu.edu/,,aa4a919e-a68e-4a19-84fd-de942d5fec9c
Wilmington Eye,"1176 East Cutlar Crossing, Leland, NC 28451",Leland,NC,28451,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-29T16:02:50+00:00,+19109363876,www.wilmingtoneye.com,Madeline Brillhart,7257b914-ce14-4a91-b35b-55455d94712b
Wilmington Eye,"9020 Senca Drive, Wilmington, NC 28411",Wilmington,NC,28411,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-29T16:02:50+00:00,+19105970332,www.wilmingtoneye.com,Madeline Brillhart,e3cb8ad6-cb75-480e-8113-e7e9114b9f45
