Clinic,Address,City,State,Zip,Treatment center,Detection center,Currently live in latest run,First seen by monitor,Last seen by monitor,Phone,Website,Providers,Epioxa facility ID
Clarus Eye Centre,"345 College St SE / Ste C, Lacey, WA 98503",Lacey,WA,98503,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+13603005946,http://www.claruseye.com/portfolio-post/corneal-disease-transplants/,,65065a6f-7d12-482d-b1a3-4c392a9da7dd
Clarus Eye Centre Olympia,"215 Lilly Road Northeast, Olympia, WA 98506",Olympia,WA,98506,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+13606547621,https://www.claruseye.com/lilly/,,1109e5a2-511a-4b61-951e-17d51c18a7f3
Clear Vision San Antonio,"8002 West Ave, San Antonio, TX 78213",San Antonio,TX,78213,Yes,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+12103612315,https://www.clearvisionsanantonio.com,Ricardo Sepulveda; Robert Green MD; Christian Lopez OD,fa09507c-67ea-4617-9a47-c8403da0dae1
Clear Vision San Antonio - Stone Oak,"1314 East Sonterra Boulevard Suite 2103, San Antonio, TX 78258",San Antonio,TX,78258,No,Yes,Yes,2026-07-28T13:49:51+00:00,2026-08-16T12:25:42+00:00,+12109085073,https://www.clearvisionsanantonio.com/locations/san-antonio-stone-oak/?y_source=1_MjAyNTg5NDYyOC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,Ricardo Sepulveda; Robert Green MD; Christian Lopez OD,d473e426-57bd-4c64-a92e-7b006498bab9
Clearview Family Eyecare,"618 Oakleaf Office Lane, Memphis, TN 38117",Memphis,TN,38117,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+19016889492,cfememphis.com,Seth Salley,20d65cfa-62b8-420b-a96e-7a617877cb8b
Clemmons Family Eye Care,"6301 Stadium Drive, Clemmons, NC 27012",Clemmons,NC,27012,No,Yes,Yes,2026-08-16T12:25:42+00:00,2026-08-16T12:25:42+00:00,+13368279967,www.clemmonsfamilyeyecare.com,Tyler Groce,0cb4d713-6e72-404c-89d4-ee70fb0dfceb
Cohen Laser & Vision Center,"3020 North Military Trail, Boca Raton, FL 33431",Boca Raton,FL,33431,Yes,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+15616581367,cohenvision.com,Joshua Cohen; Tracy Kimmelman,58639e35-83fa-4fdf-bad6-ad0425747caf
Cohenmehr Optometry,"12222 Wilshire Boulevard, Unit 105, Los Angeles, CA 90025",Los Angeles,CA,90025,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+14056493602,cohenmehreye.com,,c0bcb9ab-a85d-4aab-8e50-7c7bea4ea833
Colorado Eye Institute,"9320 Grand Cordera Pkwy / STE 255, Colorado Springs, CO 80924",Colorado Springs,CO,80924,Yes,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+17192993752,http://eyescolorado.com/,James Lee - Colorado Eye,69dd8b3d-b1cf-49b3-888d-a94849c84857
Columbus Eyeworks,"25 West Hubbard Avenue, Columbus, OH 43215",Columbus,OH,43215,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+17855083781,columbuseyeworks.com,Kurt Bennett,783d3ddb-1a47-41c8-ba15-3b5a39479552
Comprehensive Eye Care of Central Ohio,"450 Alkyre Run Road / Suite 100, Westerville, OH 43082",Westerville,OH,43082,Yes,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+16144900892,https://www.compeyecare.com,Kenneth Beckman; Jennifer Steineman; Katie Wulff; Tatiana Hammond; Stacy Schonberg; Jaclyn Paskiet; Zachary Coates,9dd7a7a3-2b1a-4d3d-95d0-994afc121d0a
Compton & Compton Eye Care,"1111 Nashville Road, Franklin, KY 42134",Franklin,KY,42134,No,Yes,Yes,2026-07-22T01:05:31+00:00,2026-08-16T12:25:42+00:00,+12706828474,https://visionsource-fseyecare.com/,Alex Compton OD; Steve Compton,b767ecd4-1514-41cb-add4-82ffaa4cd7ae
Connecticut Eye Specialists,"4 Corporate Drive # 380, Shelton, CT 06484",Shelton,CT,06484,Yes,No,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+16067551647,cteyespecialists.com,,34f3a339-2d37-4375-a7ae-6e17fbc6682f
Consulting Ophthalmologists P.C.,"499 Farmington Ave, Farmington, CT 06032",Farmington,CT,06032,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+18604067621,consultingeye.com,,55023d0c-01c5-4137-b85e-e055cccecb57
Contact Lens Institute of Colorado,"5236 Strauss Cabin Road, Fort Collins, CO 80528",Fort Collins,CO,80528,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+19707172829,https://www.clicolorado.com,,74a434fd-b857-41d5-a697-e87d7738a0b4
Contact Lense Institute of Nevada,"9260 W Sunset Rd Unit 209, Las Vegas, NV 89149",Las Vegas,NV,89149,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+17027650989,https://www.clinevada.com,Stephanie Woo,aa6feb40-a876-4905-8b63-23955267c894
Coral Gables Eyecare,"58 Miracle Mile, Coral Gables, FL 33134",Coral Gables,FL,33134,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+18062305750,,Leslie Scher,4bce29a2-7035-4d1b-9e93-faf130eba792
Corewell Health,"3601 W. 13 Mile Rd, Royal Oak, MI 48073",Royal Oak,MI,48073,Yes,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+12486022960,,,df7fd7e8-25fc-48e1-ad02-890d3034f190
Cornea & Laser Eye Institute - CLEI Center for Keratoconus,"300 Frank W Burr Blvd. / Suite 71, Teaneck, NJ 07666",Teaneck,NJ,07666,Yes,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+12018905810,https://www.vision-institute.com,John Gelles; Steven Greenstein,df17ec46-ffd0-428d-9d4d-c72b172b68b9
Cornea and Cataract of Tucson,"6422 E. Speedway / Suite 100, Tucson, AZ 85710",Tucson,AZ,85710,No,Yes,Yes,2026-07-18T21:18:20+00:00,2026-08-16T12:25:42+00:00,+15205040245,https://www.corneatucson.com/,Ann McColgin MD; Mingwu Wang MD; Bohan Xing MD,79f2f423-5d1e-4b4a-a5ba-1a6d926aae26
Custom Eyes Lenexa,"15601 West 87th Street, Lenexa, KS 66219",Lenexa,KS,66219,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+19136759167,customeyeskc.com,Chris Cossette OD,41c21185-f9ab-4954-967a-1428a6d077eb
Dakota Eye Institute,"200 South 5th Street, Bismarck, ND 58504",Bismarck,ND,58504,Yes,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+17017146605,,,3e6846b1-5d13-4243-9296-dff4bdccc57c
Danville Eye Center,"104 Smoky Way 
#100, Danville, KY 40422",Danville,KY,40422,No,Yes,No,2026-07-14T02:12:15.966Z,2026-08-15T12:24:19+00:00,+18593950952,https://www.danvilleeyecenter.com,Mike Smith,dd1ca571-1b76-4d3d-a467-f539f9e24a19
DeCarlo Optometry,"1428 North Kraemer Boulevard, Placentia, CA 92870",Placentia,CA,92870,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+17143121455,http://drdecarlo.net,,81daf1fc-7daf-48b8-9fcd-7d51f3779aa9
Desert Vision & Eye Care,"4116 West Craig Road, North Las Vegas, NV 89032",North Las Vegas,NV,89032,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+17026238297,https://www.desertvisioneyecare.com/our-practice.html,Stella Lau OD,f9c8d2c5-0f9b-47e2-9b6e-28e5c89dbcec
Diamond Vision Rockville Center,"84 North Park Avenue, Rockville Centre, NY 11570",Rockville Centre,NY,11570,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+15168994854,drshanegalan.com,Shane Galan,321c214c-7b3a-4d31-8aaf-e6f414fd7517
Dr. Amanda L. Bachman,"455 East Medical Center Boulevard, Webster, TX 77598",Webster,TX,77598,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+16188512075,https://www.eyecenteroftexas.com,,0b42a73f-a4d3-4b39-a75b-ea635c2af40a
Dr. Andrew G. Chong - La Puente Optometry Center,"1641 N Hacienda Blvd., La Puente, CA 91744",La Puente,CA,91744,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+16266544067,https://www.drandrewchong.com/,,47215793-077b-4ca5-86f1-b7920ecd36a2
Dr. Anushka Lewkebandara,"100 Medical Center Boulevard
Suite 118, Conroe, TX 77304",Conroe,TX,77304,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+19362203471,eyecenteroftexas.com,,75f5c1b6-6b76-47ed-89a0-d449109fa9de
Dr. Julie Ngo - Eye Center of Texas,"6565 West Loop South
suite 650, Bellaire, TX 77401",Bellaire,TX,77401,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+18146373224,www.eyecenteroftexas.com,,425e1ba3-710b-40e2-b08b-7766e51f32ca
Dr. Schwartz Optometrist & Associates,"37670 Garfield Road, Clinton Township, MI 48036",Clinton Township,MI,48036,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+15863004198,https://www.drschwartzoptometrist.com,,b22996f4-5a1c-4220-8d2d-40125be3b425
Drs Hiura & Hiura,"1418 Polk Street, San Francisco, CA 94109",San Francisco,CA,94109,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+16505824237,https://www.drhiura.com/index.html?noamp,,aab09048-ce6c-46ea-aa7a-d5fcfecdf745
"Drs McIntyre, Garza, Avila, and Jurica","5488 South Padre Island Drive Suite 2042, Corpus Christi, TX 78411",Corpus Christi,TX,78411,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+13614267786,www.cccontacts.com,Dave Browning OD; Amy Mai,2a04b607-6aec-45a8-862a-9397f4db62ab
"Drs. Farkas, Kassalow, Resnick & Associates","30 East 60th Street, New York, NY 10022",New York,NY,10022,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+16693712123,https://www.eyewise.com,Kevin Patrizio,9f56d7b8-9745-4714-b7b3-40429bceb98e
"Drs. Farkas, Kassalow, Resnick & Associates","1044 Northern Boulevard, Roslyn, NY 11576",Roslyn,NY,11576,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+15169804800,https://admin.roya.com/sites/Site-96565d85-23d2-4fbf-a953-69d56c2fbdbd/,Kevin Patrizio,0b39f68d-12e3-4624-94b6-67521b3be239
Dry Eye Center Of Alabama,"3490 Independence Drive, Birmingham, AL 35209",Birmingham,AL,35209,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+12059315546,https://www.dryeyecenterofalabama.com,Bonnie Kim-Schwertz; C. Derrick Franklin OD; Allison McKelvey,87629da7-72cb-46dc-bfe4-e771a66b89e2
Duke Eye Center,"2351 Erwin Rd., Durham, NC 27710",Durham,NC,27710,Yes,No,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+19198236739,https://www.dukehealth.org/locations/duke-eye-center,Melissa Daluvoy MD; Anthony Kuo MD; Kourtney Houser MD; C. Ellis Wisely MD; Nick Garson MD,0f262944-554c-46aa-bbd9-9ff7d7e5cd2e
Duke Eye Center Arringdon,"5601 Arringdon Park Drive / Suite 420, Morrisville, NC 27560",Morrisville,NC,27560,Yes,No,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+12182976751,https://www.dukehealth.org,Melissa Daluvoy MD; Anthony Kuo MD; Kourtney Houser MD; C. Ellis Wisely MD; Nick Garson MD,c8f335a1-19d4-4f6d-9954-6c786919a813
East Side Vision Center,"211 South Federal Highway, Pompano Beach, FL 33060",Pompano Beach,FL,33060,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+16093260318,eastsidevisionctr.com,Michelle Jhagroo,c4cb6b6d-ebb1-4d3c-ad2f-7ceb5bcaa9fa
East Vancouver Eye Care,"6680 Northeast 159th Avenue, Vancouver, WA 98682",Vancouver,WA,98682,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+13602301641,https://www.eastvancouvereye.com/,,d7c6e614-d847-47df-bfb6-e4383998e504
ECU Health Ophthalmology - Greenville,"9 Medical Drive, Greenville, NC 27834",Greenville,NC,27834,Yes,No,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+12527861206,,Ann Ostrovsky,d1517d0c-c3ad-4a7a-a097-2f87d6840d4e
Elevate Eyecare + Eyeware,"1430 North Rochester Road, Rochester Hills, MI 48307",Rochester Hills,MI,48307,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+12484796261,https://www.elevateeyemi.com/,,bcdce95a-e047-4235-a131-5fe54817c1fe
Elite Eye Care,"140 Airport Road, Arden, NC 28704",Arden,NC,28704,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+18287215360,visionsource-eliteeye.com,Haley Perry; Casey Krug,7925eabd-9496-4aa7-8e25-bf098cde937b
Emory Eye Center - Emory St. Joseph's Hospital Campus,"5671 Peachtree Dunwoody Rd. - Doctors Center Bldg 3, Ste. 400, Atlanta, GA 30342",Atlanta,GA,30342,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+15313356730,https://www.emoryhealthcare.org/,Boris Severinsky OD,552e040d-cfed-404a-b259-829e230dfd78
Emplify Health,"3111 Gundersen Dr,, Onalaska, WI 54650",Onalaska,WI,54650,Yes,Yes,Yes,2026-08-11T12:49:25+00:00,2026-08-16T12:25:42+00:00,+16082994458,,,e7e71751-216d-4e47-8586-8e62303e5da0
Excel Eye Center - American Fork,"12 North 1100 East, American Fork, UT 84003",American Fork,UT,84003,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+16615183509,https://www.exceleyecenter.com/locations/american-fork-eye-care/?utm_source=google%20maps&utm_medium=organic&utm_term=american%20fork,Nathan Lambert; Robert Simmons; Peter Ririe,220c7c02-6e00-4c44-a467-0c20194ac91f
Excel Eye Center - Lehi,"220 North 1200 East, Lehi, UT 84043",Lehi,UT,84043,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+18314329871,https://www.exceleyecenter.com/locations/lehi-eye-care/?utm_source=google%20maps&utm_medium=organic&utm_term=lehi,Justin Wilkinson MD; Nathan Garlick; William Hatch; Austin Woolley; Aaron Smalley,2dcac82a-70a0-4405-8acd-3314e8327db1
Excel Eye Center - Provo,"1735 North State Street, Provo, UT 84604",Provo,UT,84604,Yes,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+19124553092,https://www.exceleyecenter.com/locations/provo-eye-care/,Justin Wilkinson MD; Austin Woolley; Reese Loveless; Christopher Ricks; Nathan Lambert; Joshua Hansen,6ca0296e-679c-4a71-8596-affb52c618e0
Excel Eye Center - Spanish Fork,"692 East Market Place Drive, Suite 101, Spanish Fork, UT 84660",Spanish Fork,UT,84660,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+12517325440,https://www.exceleyecenter.com/locations/spanish-fork/,Reese Loveless; Christopher Ricks; Brad Henriksen; Joseph Schmutz; Joshua Hansen; Scott Yeates,bf1932d7-9078-441f-b1d4-f999da28bdb6
Eye Associate for New Mexico Los Lunas,"1603 Main Street St, Los Lunas, NM 87031",Los Lunas,NM,87031,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+15058713685,https://www.eyenm.com/locations/los-lunas,Jason Koschmeder,433f9d4c-b5ac-4cd5-8609-104f967eb673
Eye Associates for New Mexico Los Alamos,"1623 Central Ave, Los Alamos, NM 87544",Los Alamos,NM,87544,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+15055875935,https://www.eyenm.com/locations/los-alamos,Tim Johnson,f4723075-41d1-4fb9-b914-c981f28bebab
Eye Associates for New Mexico Rio Rancho,"1817 Wellspring Avenue Southeast, Rio Rancho, NM 87124",Rio Rancho,NM,87124,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+15056365399,https://www.eyenm.com/locations/rio-rancho,,06237850-9101-410c-b32f-fd5f13553a29
Eye Associates for New Mexico Roswell,"1606 Southeast Main Street, Roswell, NM 88203",Roswell,NM,88203,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+15752214539,,Andrew Murphy OD,bae2d1ce-6185-47d3-8335-e2bb28f6eb36
Eye Associates for NM Santa Fe-Southside,"8380 Cerrillos Road, Santa Fe, NM 87507",Santa Fe,NM,87507,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+15053703634,https://www.eyenm.com/locations/santa-fe-southside,Erin Byrne; Julia coulter,f4575b26-0f14-47fd-a476-44bec2420b35
Eye Associates Northwest - Ballard,"1455 Northwest Leary Way, Seattle, WA 98107",Seattle,WA,98107,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+12065586758,,,e8a72e92-80c2-4fa1-ab09-c349ca14d043
Eye Associates of New Mexico,"5757 Harper Drive NE, Albuquerque, NM 87109",Albuquerque,NM,87109,Yes,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+15053701666,https://www.eyenm.com,Kenneth Himmel,67598f52-2d8e-4d5c-83b9-c79723ba8a62
Eye Care and Laser Surgery of Newton Wellesley,"40 Walnut Street, Suite 101, Wellesley, MA 02481",Wellesley,MA,02481,Yes,No,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+19786166375,https://eyecareandlasersurgery.com/key-service/crosslinking/,Marc Leibole MD,c9cb80df-a396-4a0f-8d37-f24ed43cc416
Eye Care Associates,"1800 Data Drive, Hoover, AL 35244",Hoover,AL,35244,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+12053015240,webeca.com,Christine White; Ashley Savage; Barry Curtis; Lynn Hammonds,693a0c21-39b6-48a0-8ffd-03dd3706d273
Eye Care Center of Ocala,"5330 Southwest College Road, Ocala, FL 34474",Ocala,FL,34474,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+13526074545,https://www.eyecarecenterofocala.com/?utm_source=direct&utm_medium=direct&utm_content=dr_page-view_dr,Rebecca Geering,b99ba930-c436-4d0c-84e0-723de8ec36b9
Eye Care of San Diego,"3939 3rd Ave, San Diego, CA 92103",San Diego,CA,92103,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+17753178987,https://www.eyecareofsandiego.com/,,d4050580-f91c-40ed-898b-6e4bbbe6ed8f
Eye Center of Texas Bellaire Tx,"6565 West Loop S, Bellaire, TX 77401",Bellaire,TX,77401,Yes,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+19146044180,www.eyecenteroftexas.com,Yasir Ahmed; Julie Ngo; Jill Autry; Amanda Bachman,507d026b-5291-42ad-a678-55d7608380ce
"Eye Center, Inc.","2003 Cortez Road West, Bradenton, FL 34207",Bradenton,FL,34207,No,Yes,Yes,2026-08-14T12:51:38+00:00,2026-08-16T12:25:42+00:00,+19413930859,,Brad Laudicina; Madison Easterling,b705f866-4525-4838-a345-0586efcdd63e
Eye Co,"1001 West 5th Avenue, Columbus, OH 43212",Columbus,OH,43212,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+12344075392,ohioeyeco.com,Natalie Nguyen,1020e488-9baa-41c0-8a38-ae0f55a8f8de
Eye Consultants and Surgeons of Arizona,"1215 West Rio Salado Parkway /Suite 101, Tempe, AZ 85281",Tempe,AZ,85281,Yes,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+14807716133,www.eyecsa.com,Jon Konti; Derek Phelps,d384fa8e-87d5-41a5-b860-bbe2396f8e3e
Eye Consultants of Atlanta - Cumberland,"3225 Cumberland Blvd SE Ste 900, Atlanta, GA 30339",Atlanta,GA,30339,Yes,No,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+16067551745,http://www.eyeconsultants.net/traditional-cornea-transplant.htm,William Lee MD; Evan Loft MD; Hans Andrews,60fd98c4-f6cb-46d1-bd63-04b5a088f5f4
Eye Consultants of Atlanta - Howell Mill,"3193 Howell Mill Rd NW / Ste 115, Atlanta, GA 30327",Atlanta,GA,30327,Yes,No,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+14043344874,,Joseph Christenbury,8bace0d3-2f72-4341-b105-21fd3980b3ef
Eye Design,"7801 Old Branch Avenue, Clinton, MD 20735",Clinton,MD,20735,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+12409055892,https://www.eyedesigneyecare.com/,,18961290-b363-4682-ad9b-9dc694a9f5fa
Eye Group of Mississippi,"501 Baptist Drive / Suite 220 / Eye Group, Madison, MS 39110",Madison,MS,39110,Yes,No,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+16018432478,https://www.eyegroupms.com/,,7af6a2a6-c794-4d81-8bd8-c3ebc1ec58a2
Eye Institute of Utah,"755 East 3900 South, Salt Lake City, UT 84107",Salt Lake City,UT,84107,Yes,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+18014210698,,"Samuel Passi MD; Zachary Zavodni MD; Randy Carter OD, FAAO; Stephanie Nahhas OD; Sean Cushman OD, FAAO",c5c4df2d-e6db-4e8e-a9f1-612f1ba3890d
Eye Lite Optometry,"286 State Street, Los Altos, CA 94022",Los Altos,CA,94022,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+16507896057,www.eyeliteoptometry.com,,c28afdf9-1ef6-46aa-808b-d4d4347bbe2a
Eye Medical Center,"7777 Hennessey Blvd, Baton Rouge, LA 70808",Baton Rouge,LA,70808,Yes,No,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+12253511978,https://emc-eyes.com/,,50ba7279-41de-400d-9563-1672d2f142ac
Eye Q Optical,"Stirling Road, Pembroke Pines, FL 33332",Pembroke Pines,FL,33332,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+19542805901,https://youreyeq.com/,Wafa Abdulrazzaq,95e02c59-ed53-477a-b294-79d154794700
Eye Rx Chevy Chase,"4600 North Park Avenue, Chevy Chase, MD 20815",Chevy Chase,MD,20815,No,Yes,Yes,2026-07-22T01:05:31+00:00,2026-08-16T12:25:42+00:00,+16592562807,https://www.eyerxchevychase.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=website_link,,bf0e7b11-ff24-4691-8312-159051386ff3
Eye Rx Washington DC,"1629 K Street Northwest, Washington, DC 20006",Washington,DC,20006,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+15715762186,https://www.eyerxdc.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=website_link,,e9c23e0e-9838-4eb2-8ef4-5fa71d831a39
Eye Specialists & Surgeons of Northern Virginia,"3998 Fair Ridge Dr. - Suite 105, Fairfax, VA 22033",Fairfax,VA,22033,Yes,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+15715408536,http://eyespecialistsnova.com/services/#cornea,,fc652f48-ede3-4cd9-a110-7e4749070904
Eye Theory Stone Oak,"115 North Loop 1604 East Suite 1103, San Antonio, TX 78232",San Antonio,TX,78232,No,Yes,Yes,2026-07-30T13:44:50+00:00,2026-08-16T12:25:42+00:00,+12765826184,https://www.eyetheory.com,Sanjay Nancherla,f5369969-e029-472d-8f94-dcefbff60020
Eyecare Associates,"702 West Drake Road, Fort Collins, CO 80526",Fort Collins,CO,80526,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+19705727981,https://www.eyecarefortcollins.com,Jaclyn DeHayes-Rice,935ca832-3fbe-452f-b06e-eb8a803b57b0
Eyecare Associates,"4324 Veterans Memorial Blvd / Ste 102, Metairie, LA 70006",Metairie,LA,70006,Yes,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+15042693895,,Melissa Centola; Nicole Songy OD,d29c01f5-0e5e-4e78-8ddc-a72974a9846f
EyeCare Associates,"8436 Vaughn Road, Montgomery, AL 36117",Montgomery,AL,36117,No,Yes,Yes,2026-08-06T13:50:19+00:00,2026-08-16T12:25:42+00:00,+13344233651,https://www.webeca.com/,"Benjamin Harris; Frederick ""Rick"" Jackson",5fe5f676-3ac5-4f77-aad8-b5d357a2cd06
EyeCare Associates/Huntsville,"600 Washington Street Northwest, Huntsville, AL 35801",Huntsville,AL,35801,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+12566029595,https://www.webeca.com/,Benjamin Pendergrass OD; Nathan Cash,882dbc36-07eb-4fb8-916f-74eec19aa83b
Eyecare Center of Ken Caryl,"8321 Sangre De Cristo Road, Littleton, CO 80127",Littleton,CO,80127,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+18142507540,https://eyecarekencaryl.com,Beth Seidman; Catherine Goettge,4b08d7d5-b65a-4f4e-9aca-8820fe8fbec2
Eyediology Vision,"245 Waterman Street, Providence, RI 02906",Providence,RI,02906,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+14014206704,,Kriti Bhagat,43369888-e9ac-4cf9-bb51-e57d3f5c9f52
EyeMax Eye Care,"166 East 5900 South, Murray, UT 84107",Murray,UT,84107,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+18166534877,https://www.eyemaxeyecare.com,Joseph Martin; Nazanin Galehdari OD,ab8297ae-b40a-4f52-98f2-d4543c9f3203
Eyesight Ophthalmic Services,"192 Water Street, Exeter, NH 03833",Exeter,NH,03833,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+14783395277,https://www.eyesightnh.com,Christopher Turner OD; Renee Lynch OD,b8340912-7014-47d9-a479-da9159218629
Eyesight Ophthalmic Services,"155 Borthwick Ave / Suite 200E, Portsmouth, NH 03801",Portsmouth,NH,03801,Yes,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+16036348099,https://www.eyesightnh.com/keratoconus,Janet Rand OD; Renee Lynch OD; Dwight Arvidson OD; Christopher Turner OD; Lauren Mcloughlin OD; N. Timothy Peters MD; Jennifer Ling MD,a7f9c84b-c49b-449e-83fc-a369efba2295
Eyesight Ophthalmic Services,"267 New Hampshire 108, Somersworth, NH 03878",Somersworth,NH,03878,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+12398372378,https://www.eyesightnh.com,Lauren Mcloughlin OD; Hilary Hamer OD; Dwight Arvidson OD,8712649c-9479-4f3f-a3a0-790faa89a27d
